	query_id_x	subject_id_x	percentage_identity_x	percentage_identity_y	query_coverage_x	query_coverage_y	subject_coverage_x	subject_coverage_y	bitscore_x	bitscore_y	Evalue_x	Evalue_y
0	gi|50118967|ref|YP_048134.1|	gi|261823727|ref|YP_003261833.1|	99.35	99.35	100.0	100.0	100.0	100.0	314.0	314.0	1.9999999999999994e-111	1.9999999999999994e-111
1	gi|50118968|ref|YP_048135.1|	gi|261823726|ref|YP_003261832.1|	98.79	98.79	100.0	100.0	100.0	100.0	666.0	666.0	0.0	0.0
2	gi|50118969|ref|YP_048136.1|	gi|261823725|ref|YP_003261831.1|	97.97	97.97	100.0	100.0	100.0	100.0	996.0	996.0	0.0	0.0
3	gi|50118970|ref|YP_048137.1|	gi|261823724|ref|YP_003261830.1|	96.79	96.79	100.0	100.0	100.0	100.0	989.0	989.0	0.0	0.0
4	gi|50118971|ref|YP_048138.1|	gi|261823723|ref|YP_003261829.1|	97.75	97.75	100.0	100.0	100.0	100.0	1236.0	1236.0	0.0	0.0
5	gi|50118972|ref|YP_048139.1|	gi|261823722|ref|YP_003261828.1|	92.2	92.2	100.0	100.0	100.0	100.0	823.0	823.0	0.0	0.0
6	gi|50118973|ref|YP_048140.1|	gi|261823721|ref|YP_003261827.1|	95.91	95.91	100.0	100.0	100.0	100.0	385.0	407.0	1.9999999999999995e-137	4.999999999999999e-146
7	gi|50118974|ref|YP_048141.1|	gi|261823720|ref|YP_003261826.1|	96.95	96.95	100.0	100.0	100.0	100.0	262.0	262.0	1.9999999999999998e-91	1.9999999999999998e-91
8	gi|50118975|ref|YP_048142.1|	gi|261823719|ref|YP_003261825.1|	99.28	99.28	100.0	100.0	100.0	100.0	284.0	284.0	5.999999999999998e-100	5.999999999999998e-100
9	gi|50118976|ref|YP_048143.1|	gi|261823718|ref|YP_003261824.1|	98.4	98.4	100.0	100.0	100.0	100.0	1003.0	1003.0	0.0	0.0
10	gi|50118977|ref|YP_048144.1|	gi|261823717|ref|YP_003261823.1|	99.07	99.07	100.0	100.0	100.0	100.0	619.0	619.0	0.0	0.0
11	gi|50118978|ref|YP_048145.1|	gi|261823716|ref|YP_003261822.1|	99.32	99.32	100.0	100.0	100.0	100.0	580.0	580.0	0.0	0.0
12	gi|50118979|ref|YP_048146.1|	gi|261823715|ref|YP_003261821.1|	96.1	96.1	100.0	100.0	100.0	100.0	601.0	601.0	0.0	0.0
13	gi|50118980|ref|YP_048147.1|	gi|261823714|ref|YP_003261820.1|	96.68	96.68	100.0	100.0	100.0	100.0	671.0	671.0	0.0	0.0
14	gi|50118981|ref|YP_048148.1|	gi|261823713|ref|YP_003261819.1|	91.91	91.91	100.0	100.0	100.0	100.0	328.0	328.0	3.9999999999999994e-116	4.9999999999999986e-116
15	gi|50118982|ref|YP_048149.1|	gi|261823712|ref|YP_003261818.1|	87.76	87.76	100.0	100.0	100.0	100.0	356.0	356.0	1e-126	1e-126
16	gi|50118983|ref|YP_048150.1|	gi|261823711|ref|YP_003261817.1|	97.75	97.75	100.0	100.0	100.0	100.0	180.0	180.0	1e-60	1e-60
17	gi|50118984|ref|YP_048151.1|	gi|261823710|ref|YP_003261816.1|	95.12	95.12	99.09365558912387	100.0	100.0	99.09365558912387	651.0	651.0	0.0	0.0
18	gi|50118985|ref|YP_048152.1|	gi|261823709|ref|YP_003261815.1|	95.65	95.65	100.0	100.0	100.0	100.0	410.0	410.0	2.999999999999999e-147	2.999999999999999e-147
19	gi|50118986|ref|YP_048153.1|	gi|261823708|ref|YP_003261814.1|	97.31	97.31	100.0	100.0	100.0	100.0	1863.0	1863.0	0.0	0.0
20	gi|50118987|ref|YP_048154.1|	gi|261823707|ref|YP_003261813.1|	96.21	96.21	100.0	100.0	100.0	100.0	419.0	419.0	6.999999999999999e-151	6.999999999999999e-151
21	gi|50118988|ref|YP_048155.1|	gi|261823706|ref|YP_003261812.1|	94.05	94.05	100.54347826086956	100.0	100.0	100.54347826086956	279.0	287.0	1.9999999999999994e-96	7.999999999999998e-100
22	gi|50118989|ref|YP_048156.1|	gi|261823705|ref|YP_003261811.1|	98.47	98.47	100.0	100.0	100.0	100.0	932.0	932.0	0.0	0.0
23	gi|50118990|ref|YP_048157.1|	gi|261823698|ref|YP_003261804.1|	99.57	99.57	100.0	100.0	100.0	100.0	955.0	955.0	0.0	0.0
24	gi|50118991|ref|YP_048158.1|	gi|261823697|ref|YP_003261803.1|	100.0	100.0	100.0	100.0	100.0	100.0	703.0	703.0	0.0	0.0
25	gi|50118992|ref|YP_048159.1|	gi|261823696|ref|YP_003261802.1|	99.36	99.36	100.0	100.0	100.0	100.0	972.0	972.0	0.0	0.0
